timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-27 08:33:01,"@ikaveri May lord have mercy on our enemies, because we won't  #IndiaStrikesBack #IndiaStrikesPakistan  #IndianAirforce #HowsTheKhaufPakistan #HowsTheJaish",neerajsagar,"[u'IndiaStrikesBack', u'IndiaStrikesPakistan', u'IndianAirforce', u'HowsTheKhaufPakistan', u'HowsTheJaish']",397
2019-02-27 08:31:29,Feel the #Josh with #IndianAirForce from #wagahborder ... #Surgicalstrike2  #HowsTheJaish #PakistanArmy 😂 https://t.co/eHPwq9IfFP,SURESHSharma__,"[u'Josh', u'IndianAirForce', u'wagahborder', u'Surgicalstrike2', u'HowsTheJaish', u'PakistanArmy']",33996
2019-02-27 08:16:03,Pakistanis getting fooled by this picture of 2015 and if not then maybe pakistanis are time travellers😜😛 decide yourself #Pakistanis #F16 #IndiaStrikesBack #NamoAgain #IndiaStrikes #HowsTheKhaufPakistan #HowsTheJosh #HowsTheJaish https://t.co/wxs21psvcM,tanvishasharmaa,"[u'Pakistanis', u'F16', u'IndiaStrikesBack', u'NamoAgain', u'IndiaStrikes', u'HowsTheKhaufPakistan', u'HowsTheJosh', u'HowsTheJaish']",32
2019-02-27 08:01:22,Proud of our #IAF for winning the real world battle royal!  #HowsTheJosh #HowsTheJaish #IndiaStrikesBack #IndiaStrikesPakistan #Pulwama #PubG #WinnerWinnerChickenDinner #Pakistan #SurgicalStrikes2 #BalakotAirStrike #revengeforpulwama #TheHustlerCollective https://t.co/4Oie5PBqTv,TheHustlerColl,"[u'IAF', u'HowsTheJosh', u'HowsTheJaish', u'IndiaStrikesBack', u'IndiaStrikesPakistan', u'Pulwama', u'PubG', u'WinnerWinnerChickenDinner', u'Pakistan', u'SurgicalStrikes2', u'BalakotAirStrike', u'revengeforpulwama', u'TheHustlerCollective']",1086
2019-02-27 07:59:47,"To all those who are condoning the IAF strikes in Pak and celebrating as though we have eliminated terrorism for good, here’s a wake up call. Please go through the thread, an epiphany awaits. @asadowaisi @IndiaToday @ndtv @CNNnews18 #airforcestrike #SurgicalStrike2 #HowsTheJaish https://t.co/LSfwMFijzP",israr_ahmed050,"[u'airforcestrike', u'SurgicalStrike2', u'HowsTheJaish']",24
2019-02-27 07:55:13,He-how's the jaish. Me-die sir😂😂😂😂 #kashmiri #SurgicalStrikes2 #StrikeBack #strike #Pulwama #HowsTheJaish https://t.co/izmd7ZfWxW,gaurav_pandit97,"[u'kashmiri', u'SurgicalStrikes2', u'StrikeBack', u'strike', u'Pulwama', u'HowsTheJaish']",11
2019-02-27 07:17:45,India shoots down Pakistan F-16 fighter jet after it violates Indian airspace | via @IndiaTVNews https://t.co/4fcW7WMhCY #HowsTheKhaufPakistan #HowsTheJaish,Bahra1976,"[u'HowsTheKhaufPakistan', u'HowsTheJaish']",40
2019-02-27 06:40:52,"Salute on the preparedness @IAF_MCC @IndINDIANARMY , based on reports, on F-16 jet is destroyed, while it was voilting Indian Airspace #HowsTheJaish @majorgauravarya @rwac48  But I am not sure what that F-16 was really trying to do in our airspace. Attacking Civilians?",Juugadu_Indian,[u'HowsTheJaish'],2
2019-02-27 06:37:20,"Masood Azhar told his #NaPak Godfather Javed Bajwa after IAF Air Strike on his Terrorist Training Camp ........... ""Save me"" 😭😭😭😭😭😭😭😭😭😭😭😭  #AirSurgicalStrikes  #BalakotAirStrike #IAFStrikes #IAF #HowsTheJaish #PakistanArmy #PakistanAirForce #PakistanMedia #Pakistan https://t.co/L1IWzeyqDj",Souravshee89,"[u'NaPak', u'AirSurgicalStrikes', u'BalakotAirStrike', u'IAFStrikes', u'IAF', u'HowsTheJaish', u'PakistanArmy', u'PakistanAirForce', u'PakistanMedia', u'Pakistan']",4
2019-02-27 06:29:05,Pakistan shot down two Indian fighter jets. What a surprise MaSha Allah #HowsTheJaish dear Indian #PakistanAirForceOurPride,KashmiriTanvir,"[u'HowsTheJaish', u'PakistanAirForceOurPride']",554
