timestamp,tweet_text,username,all_hashtags,followers_count
2019-02-28 07:00:03,Targeted #ISIS accounts https://t.co/2fFnMIoLlZ 🆕 https://t.co/DfTMqm50q8 🆕 🚩 https://t.co/4cizuEdIz3 🆕 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:56:49,Wow what a week #Pell #Trudeau go down #IndiaPakistan go to war #TrumpKimSummit stalls over #Venezuela #Isis finally defeated #BillyJSmith dies #Ita gets a job she didn’t even apply for &amp; its only Thursday #ABCNews &amp; #Yellowvest are still protesting 🤔,Cloudsurfermike,"[u'Pell', u'Trudeau', u'IndiaPakistan', u'TrumpKimSummit', u'Venezuela', u'Isis', u'BillyJSmith', u'Ita', u'ABCNews', u'Yellowvest']",206
2019-02-28 06:56:02,Targeted #ISIS accounts https://t.co/esx0mnIWYG 🆕 https://t.co/68v2Ol84eY 🆕 https://t.co/BIyeHjPhKj 🆕 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:55:05,#Islam; #ShamimaBegum #ISIS  #IS On Islam and Hate Speech https://t.co/O1xPAg6meM,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:52:08,"In #Raqqa, local teams are exhuming thousands of bodies from #Isis's mass graves. But without forensics, they likely to remain unidentified. This week I visited Al Fukheikha, the largest burial site found yet https://t.co/vQKtmKs0ps",hannahluci,"[u'Raqqa', u'Isis']",283
2019-02-28 06:51:54,"#Rakka, downtown. February 24th. The city is severely destroyed, and a lot of #isis' sleeping cells are still running in the shadows.  @chris_huby @lepictorium_agency  #raqqa #syria #syrie #war #conflict #muslim #mosq #mosquee #musulman #rue #route #phot… https://t.co/Y4Ltqdip4z https://t.co/j9DoE5udbp",PictoriumAgency,"[u'Rakka', u'isis', u'raqqa', u'syria', u'syrie', u'war', u'conflict', u'muslim', u'mosq', u'mosquee', u'musulman', u'rue', u'route', u'phot']",290
2019-02-28 06:51:16,"@TimesNow @Srinjoy_C @Swatij14 #Pakistan has never respected its agreements or boundaries. It is occupied by a hostile army, which is openly involved in terror acts and drugs business #PAKISTANARMY is exactly like #ISIS  it openly deals with #Taliban Known for exproting terror  @imrankhanpti should explain",kumaraniket,"[u'Pakistan', u'PAKISTANARMY', u'ISIS', u'Taliban']",1385
2019-02-28 06:49:29,#hallabol - The #condition in #Pakistan is #worse than #Syria . At least #Syrian #Government didn't support #ISIS #Terrorists . But Pakistan #backing n #sponsoring #terror #outfits  #PulwamaRevenge #AbhinandanVarthaman #AbhinandanMyHero #IndianAirForce #IndiaStrikesBack #JaiHind,yogeshmishra__,"[u'hallabol', u'condition', u'Pakistan', u'worse', u'Syria', u'Syrian', u'Government', u'ISIS', u'Terrorists', u'backing', u'sponsoring', u'terror', u'outfits', u'PulwamaRevenge', u'AbhinandanVarthaman', u'AbhinandanMyHero', u'IndianAirForce', u'IndiaStrikesBack', u'JaiHind']",95
2019-02-28 06:48:03,Targeted #ISIS accounts https://t.co/lq7yLfLcKo 🆕 https://t.co/8m7Itin6Eh 🆕 🚩 https://t.co/0pgBaRVy5I 🆕 🚩 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:45:06,#Islam; #ShamimaBegum #ISIS  #IS Peter Townsend - Coming soon to both Audible and Itunes. Sign up for updates at: https://t.co/VVYRRf1njC,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:40:04,Targeted #ISIS accounts https://t.co/3yiTNj525j 🆕 https://t.co/s6kyFJwJgz 🆕 https://t.co/qHXtXztrHg 🆕 🚩 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:33:58,"This is for those who think war is a video game and that you can bomb out terrorists with #AirStrikes. This is Homs, Syria. Sure, #ISIS was destroyed by an intense campaign of #AirStrikes, but this is the cost. If you do this to Pakistan, you think they wouldn't do it to us? https://t.co/T1I7mmyVFd",NilimDutta,"[u'AirStrikes', u'ISIS', u'AirStrikes']",11995
2019-02-28 06:32:02,Targeted #ISIS accounts https://t.co/vhtTBGxKdn 🆕 🚩 https://t.co/2UT6OWg1sG 🆕 https://t.co/XtoynA1ZCL 🆕 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:31:52,Belgium wins appeal against repatriation of Islamic State families  https://t.co/DKsiBpUpD4 #NRTnews #Belgium #ISIS #Syria https://t.co/MkJUyP1yJR,NRT_English,"[u'NRTnews', u'Belgium', u'ISIS', u'Syria']",31690
2019-02-28 06:30:16,"#Islam; #ShamimaBegum #ISIS  #IS For Muslim history to be true, absolutely flawless oral tranmission had to occur https://t.co/Ts3PCSY52k",PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:29:48,“ISIS Brides” By the Central Committee of Ex-Muslims in Scandinavia. “The public fund for #Islamism must be banned!” Watch the program in full through the following link: 👇 https://t.co/frklAxN7rP #ExMuslimScandinavia #exmuslims #mosques #ISIS https://t.co/7kKNczNbFS,ExScandinavia,"[u'Islamism', u'ExMuslimScandinavia', u'exmuslims', u'mosques', u'ISIS']",210
2019-02-28 06:29:38,"Humanitarian law must be uphold, even when fighting #ISIS. Protect civilians and hostages during this last assault! A shame to let children die after their liberation! #Syria #FreeAbunaPaolo https://t.co/D4rDj32WLk",fritzbokern,"[u'ISIS', u'Syria', u'FreeAbunaPaolo']",434
2019-02-28 06:25:55,LARGE NUMBER OF MALAYSIANS DIED FIGHTING IN SYRIAN WAR Full news: New Straits Times - 22 Februari 2019 👉https://t.co/0c1SJ2iYwa  #alhaqcentre #utusanmalaysia #syria #daesh #militants #ISIS  FOLLOW US 👇  https://t.co/xLNCoZe3IQ https://t.co/NZTfc79QwC https://t.co/CblCSqVh9R https://t.co/ahY4SKrmQz,alhaqcentre,"[u'alhaqcentre', u'utusanmalaysia', u'syria', u'daesh', u'militants', u'ISIS']",87
2019-02-28 06:25:03,"#Islam; #ShamimaBegum #ISIS  #IS On Islam and ""Hate Speech"" https://t.co/O1xPAg6meM",PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:24:03,Targeted #ISIS accounts https://t.co/jlH4NgiLUS https://t.co/q4a26pWI2R 🏃 https://t.co/eeOntBm88A #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:23:10,📹 The #US-led @coalition continues to target #ISIS in #DeirEzzor's #Baghuz Fawqani https://t.co/fbALSq7ZK0,smmsyria,"[u'US', u'ISIS', u'DeirEzzor', u'Baghuz']",5754
2019-02-28 06:16:02,Targeted #ISIS accounts https://t.co/Pk9NAZkpip 🇦🇫 https://t.co/KD4o2xQKre https://t.co/A8eYx3SEYa #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:15:06,#Islam; #ShamimaBegum #ISIS  #IS  Get your FREE copy of Peter Townsend's ebook 'On Islam and Indoctrination' today at https://t.co/YO79zGpgrW,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:14:33,Volunteer medics aid civilians caught in #ISIS crossfire - Feb 28 @ 1:13 AM ET  https://t.co/GmmDqdWISY,PulpNews,[u'ISIS'],4437
2019-02-28 06:11:28,"Despite losing Caliphate, Islamic State is not defeated --- ""humanitarian aid will be constrained by the volatile security situation in large parts of #Iraq""   #ISIS #Syria https://t.co/qAnpQqDYr1",ScottLucas_EA,"[u'Iraq', u'ISIS', u'Syria']",8592
2019-02-28 06:10:17,"Misunderstanding the Islamic State's ""Defeat"" --- and Why It Matters for Humanitarian Aid (@ArbogastJim)   https://t.co/7V4jiNxIsq  #ISIS #Iraq #Syria https://t.co/fEGFPHAu9Z",EA_WorldView,"[u'ISIS', u'Iraq', u'Syria']",4001
2019-02-28 06:08:57,@RalphGoodale How are the returning #Isis fighters doing. Did you give them new identities yet? Have they gone for govt retraining on how to become a  #liberal mp.They're  already 3/4 of the way now..what's the clincher that's gets them in funding?,Blanchecartefo1,"[u'Isis', u'liberal']",423
2019-02-28 06:08:02,Targeted #ISIS accounts https://t.co/uCD7mZ9Jm5 https://t.co/Hw9jwEW0uQ 🏃 https://t.co/J6j59Eusz1 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 06:05:03,#Islam; #ShamimaBegum #ISIS  #IS  Your free copy of Peter Townsend's e-book 'Arabic for Unbelievers'. Get it at https://t.co/5i1QeUVvOX,PeterTownsend7,"[u'Islam', u'ShamimaBegum', u'ISIS', u'IS']",104217
2019-02-28 06:03:44,"""No matter how much we try to deny it, the work against #ISIS is by no means over. It's likely the hard work is just starting."" Largest (3,500 dead) IS mass grave yet found outside Syria's #Raqqa https://t.co/1dzmP5U7aL via @YahooNews",lawandliberty1,"[u'ISIS', u'Raqqa']",76
2019-02-28 06:00:03,Targeted #ISIS accounts https://t.co/9jYKG9AIL4 https://t.co/YEYZEYEOrQ https://t.co/c62n52lO82 #targets #iceisis #opiceisis,CtrlSec,"[u'ISIS', u'targets', u'iceisis', u'opiceisis']",25856
2019-02-28 05:57:58,Court in #Belgium rules its state 'is no longer obliged to undertake any act of repatriation' #ISIS #Syria  https://t.co/VoubOWaqix,RudawEnglish,"[u'Belgium', u'ISIS', u'Syria']",355741
